4.017,-0.041972,-501.81,-0.0122,-330357.0151
4.037,-0.059502,-447.96,-0.0136,-294904.381
4.057,-0.042124,-339.43,-0.0122,-223457.0831
4.077,-0.010791,-224.4,-0.0096,-147731.9896
4.097,0.030085,-105.45,-0.0063,-69422.6474
4.117,0.077585,4.4587,-0.0025,2935.2619
4.137,0.12465,97.62,0.0013,64266.0782
4.157,0.16891,175.92,0.0049,115813.829
4.177,0.21181,246.61,0.0083,162350.446
4.197,0.25414,313.58,0.0117,206436.8874
4.217,0.29585,375.97,0.0151,247514.68
4.237,0.33734,436.46,0.0185,287334.1143
4.257,0.37921,496.89,0.0218,327118.2477
4.277,0.4216,554.51,0.0253,365046.7992
4.297,0.46384,611.11,0.0287,402309.5667
4.317,0.50587,664.46,0.0321,437430.3818
4.337,0.5475,715.23,0.0354,470854.4612
4.357,0.58867,765.83,0.0387,504170.1794
4.377,0.62992,814.27,0.0421,536053.7171
4.397,0.67171,864.53,0.0454,569143.8913
4.417,0.71372,913.74,0.0488,601539.4926
4.437,0.75564,960.45,0.0522,632287.9195
4.457,0.79757,1007.6,0.0556,663332.5815
4.477,0.83923,1052.3,0.059,692732.1553
4.497,0.88038,1096.1,0.0623,721621.9306
4.517,0.92161,1140.3,0.0656,750704.0501
4.537,0.96322,1183.9,0.069,779383.0633
4.557,1.0051,1228.2,0.0724,808539.5098
4.577,1.0471,1272,0.0757,837389.0519
4.597,1.0893,1314.3,0.0792,865217.1493
4.617,1.1313,1356.4,0.0825,892980.4564
4.637,1.1726,1395.4,0.0859,918616.9505
4.657,1.2134,1434.1,0.0892,944136.9176
4.665,1.2299,1450.6,0.0905,954983.9497
4.666,1.2319,1452.7,0.0907,956353.9624
4.686,1.2724,1478.7,0.0939,973463.6545
4.706,1.2911,1435.3,0.0954,944880.4855
4.726,1.2737,1344.7,0.094,885285.1987
4.746,1.2412,1244.1,0.0914,819056.2129
4.766,1.1997,1142.5,0.0881,752137.0649
4.786,1.1529,1047.4,0.0843,689543.0684
4.806,1.1071,964.52,0.0806,634973.3472
4.826,1.0636,891.85,0.0771,587131.5598
4.846,1.0206,823.07,0.0736,541849.6132
4.866,0.97777,756.26,0.0701,497864.8722
4.886,0.93548,694.11,0.0667,456951.0818
4.906,0.89399,634.27,0.0634,417556.8521
4.926,0.85266,575.59,0.06,378926.605
4.946,0.81104,517.62,0.0567,340764.5226
4.966,0.76912,459.43,0.0533,302455.0974
4.986,0.72687,402.8,0.0499,265176.5645
5.006,0.68459,346.31,0.0465,227982.5956
5.026,0.64268,292.28,0.0431,192414.403
5.046,0.60118,240.96,0.0397,158630.1774
5.066,0.55997,188.9,0.0364,124357.8568
5.086,0.51866,137.25,0.0331,90354.979
5.106,0.47692,85.36,0.0297,56194.6072
5.126,0.43488,33.204,0.0263,21859.0088
5.146,0.39297,-17.783,0.0229,-11706.7639
5.166,0.35118,-67.613,0.0196,-44511.6349
5.186,0.30969,-116.59,0.0162,-76755.8366
5.206,0.26863,-164.41,0.0129,-108234.4353
5.226,0.22737,-213.22,0.0096,-140365.4814
5.246,0.18545,-263.35,0.0062,-173370.2123
5.266,0.14319,-313.01,0.0028,-206060.0221
5.286,0.10118,-361.43,-0.0006,-237936.4371
5.306,0.059349,-408.73,-0.004,-269080.5197
5.326,0.017641,-456.1,-0.0074,-300262.1531
5.335,-0.00097884,-476.36,-0.0089,-313603.282
5.336,-0.0030376,-478.61,-0.009,-315079.987
5.356,-0.042591,-507.53,-0.0122,-334119.2901
5.376,-0.060121,-453.72,-0.0136,-298696.9054
5.396,-0.041888,-342.76,-0.0122,-225645.3782
5.416,-0.010023,-228.29,-0.0096,-150290.519
5.436,0.030256,-112.64,-0.0063,-74152.5143
5.456,0.077215,-4.0487,-0.0025,-2665.3672
5.476,0.12418,88.833,0.0012,58481.4362
5.496,0.16846,166.53,0.0048,109628.2229
5.516,0.21132,236.81,0.0083,155900.0015
5.536,0.25359,303.53,0.0117,199821.8149
5.556,0.29528,365.48,0.0151,240605.6523
5.576,0.33678,426.24,0.0184,280605.2268
5.596,0.37865,485.66,0.0218,319723.4273
5.616,0.42101,543.36,0.0252,357708.3647
5.636,0.46324,599.44,0.0286,394624.9187
5.656,0.50524,652.22,0.032,429372.6683
5.676,0.54687,703.77,0.0354,463313.6392
5.696,0.58809,753.57,0.0387,496095.9256
5.716,0.62938,802.19,0.042,528104.9609
5.736,0.67112,852.31,0.0454,561100.5425
5.756,0.71312,901.1,0.0488,593222.0817
5.776,0.75505,947.78,0.0522,623951.4947
5.796,0.79698,994.73,0.0556,654859.9601
5.816,0.83864,1039.3,0.0589,684216.2013
5.836,0.87979,1082.9,0.0622,712879.5385
5.856,0.921,1127.1,0.0656,742027.9384
5.876,0.96261,1170.7,0.0689,770735.3234
5.896,1.0045,1215.3,0.0723,800047.8148
5.916,1.0465,1258.5,0.0757,828530.6096
5.936,1.0887,1301.7,0.0791,856916.1892
5.956,1.1307,1343.4,0.0825,884379.6253
5.976,1.172,1382.1,0.0858,909872.1147
5.996,1.2128,1421.5,0.0891,935780.3464
6.004,1.2293,1437.3,0.0905,946246.4452
6.005,1.2314,1439.4,0.0906,947573.7214
6.025,1.2718,1465.6,0.0939,964851.5582
6.045,1.2905,1423.1,0.0954,936861.8727
6.065,1.2731,1332.5,0.094,877231.7767
6.085,1.2406,1232.6,0.0914,811444.5806
6.105,1.1991,1131.2,0.088,744685.1134
6.125,1.1523,1036.5,0.0842,682348.8474
6.145,1.1066,953.9,0.0805,627975.7023
6.165,1.063,881.3,0.077,580183.2676
6.185,1.02,812.32,0.0736,534771.502
6.205,0.97718,746.24,0.0701,491267.8897
6.225,0.93489,684.43,0.0667,450579.226
6.245,0.89339,624.66,0.0633,411230.8621
6.265,0.85205,566.39,0.06,372872.9188
6.285,0.81039,508.16,0.0566,334537.5657
6.305,0.76843,450.44,0.0532,296535.7602
6.325,0.72625,394.38,0.0498,259628.4747
